Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C30, C34, C35, C36",0603,6,220pF,
"C11, C21",0402,2,100n,
"C12, C13, C14, C15, C18, C19",0805,6,10u,C469541
C16,0402,1,1.2n,
"C2, C33",C_Rect_L11.0mm_W5.1mm_P10.00mm_MKT,2,10n,C183540
"C22, C32",CP_Radial_D10.0mm_P5.00mm,2,1000u,C2960265
"C23, C28",0402,2,100n,C162179
"C24, C31",0805,2,10u 35v,C469541
"C26, C29",0402,2,100n,C92753
"C27, C47, C5",CP_Radial_D8.0mm_P3.50mm,3,220u,C45072
"C37, C38",0603,2,10n,
"C39, C40",0603,2,4.7n,
C4,CP_EIA-7343-31_Kemet-D,1,100u,C189619
"C41, C42, C43, C44, C45, C46, C48, C49",0603,8,10n,C3836718
"C6, C7, C8, C9",0805,4,10u,C117956
"CSR1, CSR2",R_4527,2,0.1R 5W,C5127890
"CU1, CU10, CU11, CU13, CU15, CU16, CU17, CU18, CU19, CU2, CU20, CU21, CU22, CU23, CU24, CU25, CU26, CU27, CU28, CU29, CU3, CU30, CU31, CU32, CU33, CU34, CU35, CU36, CU37, CU38, CU39, CU4, CU40, CU41, CU42, CU43, CU44, CU45, CU46, CU47, CU48, CU5, CU6, CU7, CU8, CU9",0603,46,100n,
"CU12, CU14",0805,2,1u,C24123
"D1, D14, D15, D16, D17, D2, D7, D9",D_SOD-123,8,1N4148W,C5345962
"D3, D4, D8",0603,3,LED,C79636
"D5, D6",SOT-23,2,MMBZ5242BLT3G,C896784
HS1,Heatsink_Fischer_SK104-STCB_35x13mm__2xDrill3.5mm_ScrewM3,1,Heatsink_Pad_2Pin,
"J1, J10, J18, J19, J2, J20, J21, J27, J29, J3, J30, J31, J32, J6, J8, J9",PinHeader_1x03_P2.54mm_Vertical,16,Conn_01x03_Male, C2914353
"J11, J14",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,CSR_Bypass,C124375
"J12, J15",TerminalBlock_Spring_2_P5.08mm,2,SpringTerminal,C35616
J13,Banana_Jack_1Pin,1,Ban1,
"J16, J22",BarrelJack_Wuerth_6941xx301002,2,Barrel_Jack,C3096082
J17,Banana_Jack_1Pin,1,Ban2,
"J24, J28",PinHeader_1x02_P2.54mm_Vertical,2,CSR_Bypass,C124375
J25,Banana_Jack_1Pin,1,Ban3,
J5,IDC-Header_2x15_P2.54mm_Vertical,1,Conn_02x15_Odd_Even,C358748
"JP1, JP2, JP20, JP21",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,4,bridge,
"JP10, JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP3, JP4, JP5, JP6, JP7, JP9",SolderJumper-2_subtle,14,GND,
L1,L_Bourns_SRN6045TA,1,3.3u,C3221229
"PRC1, PRC2",TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal,2,Conn_01x02, C430601
PWR_SW1,SW_Slide_1P2T_CK_OS102011MS2Q,1,SW_SPST,C431547
"Q1, Q3, Q5",TO-220-3_Vertical,3,FQP27P06,C7503194
"Q2, Q4, Q6",TO-220-3_Vertical,3,IRLZ44N,C22367197
"R1, R115, R116, R12, R49, R59, R63, R8",0603,8,0,
"R10, R61",0603,2,2.7k,
"R100, R124, R125, R15, R17, R21, R3, R33, R34, R35, R36, R42, R43, R44, R46, R5, R51, R53, R55, R67, R7, R70, R73, R92, R93, R95, R96, R97",0603,28,1k,
"R101, R98",0603,2,205,C403059
"R102, R99",0603,2,32.4,C861326
"R103, R104, R2, R50",0603,4,510,C860931
"R105, R106, R107, R108, R109, R110, R111, R112, R14, R19, R20, R4, R52, R65, R68, R69",0603,16,1.01k,C861188
