Designator,Mid X,Mid Y,Rotation,Layer
C1,89.408,-58.9788,180.0,top
C11,239.688877,-101.889751,0.0,top
C12,221.712877,-105.600551,270.0,top
C13,221.690877,-101.984351,90.0,top
C14,224.175877,-102.034351,90.0,top
C15,226.665877,-102.034351,90.0,top
C16,238.934077,-103.261351,180.0,top
C18,224.175877,-105.590351,270.0,top
C19,226.665877,-105.590351,270.0,top
C2,110.0112,-71.8312,180.0,top
C22,190.754,-116.210323,270.0,top
C23,236.728,-116.586,90.0,top
C24,220.726,-118.11,270.0,top
C26,223.774,-118.998,270.0,top
C27,154.3812,-117.9856,270.0,top
C28,230.9368,-127.762,270.0,top
C29,220.6752,-133.4288,270.0,top
C3,89.139223,-73.345777,180.0,top
C30,96.5355,-124.444104,180.0,top
C31,218.7956,-134.173935,270.0,top
C32,190.785,-127.976,270.0,top
C33,114.253,-125.984,180.0,top
C34,92.71,-137.414,180.0,top
C35,62.1504,-66.027,0.0,top
C36,63.627,-138.811,180.0,top
C37,120.904,-50.674,270.0,top
C38,121.92,-145.478138,270.0,top
C39,120.904,-53.976,90.0,top
C4,234.696,-91.2876,0.0,top
C40,121.92,-148.830938,90.0,top
C41,146.558,-47.9552,270.0,top
C42,146.1008,-142.24,270.0,top
C43,130.048,-54.864,180.0,top
C44,130.9494,-149.694538,180.0,top
C45,134.874,-50.0758,270.0,top
C46,136.2964,-143.8656,270.0,top
C48,144.78,-47.9552,270.0,top
C49,147.9296,-142.24,270.0,top
C5,154.5844,-80.716949,270.0,top
C6,245.811,-86.995,0.0,top
C7,242.001,-86.995,180.0,top
C8,245.811,-89.281,0.0,top
C9,242.001,-89.281,180.0,top
CSR1,79.883,-93.599,180.0,top
CSR2,79.883,-104.394,180.0,top
CU1,143.8409,-62.2194,180.0,top
CU10,244.602,-81.407,0.0,top
CU11,155.953304,-88.299946,0.0,top
CU12,156.153304,-90.399946,0.0,top
CU13,156.515803,-102.814946,0.0,top
CU14,156.365803,-104.994946,0.0,top
CU15,164.4,-105.25,270.0,top
CU16,172.1,-108.85,270.0,top
CU17,147.95,-117.875,270.0,top
CU18,132.426804,-127.099946,180.0,top
CU19,92.595554,-129.066904,270.0,top
CU2,100.312413,-63.738186,270.0,top
CU20,151.178304,-128.441946,180.0,top
CU21,100.7855,-132.5822,270.0,top
CU22,166.628304,-134.099946,90.0,top
CU23,108.966,-133.985,90.0,top
CU24,118.237,-134.2006,90.0,top
CU25,128.351804,-135.099946,180.0,top
CU26,209.756,-97.79,0.0,top
CU27,214.49,-97.79,0.0,top
CU28,64.665,-72.9618,90.0,top
CU29,57.1974,-69.456,90.0,top
CU3,109.598413,-63.776986,270.0,top
CU30,73.53118,-55.792152,180.0,top
CU31,70.02598,-63.158152,180.0,top
CU32,129.6847,-47.6102,180.0,top
CU33,126.1287,-54.773,180.0,top
CU34,94.393837,-53.513519,90.0,top
CU35,60.9854,-125.2245,270.0,top
CU36,68.3006,-128.8821,270.0,top
CU37,78.74,-136.6774,180.0,top
CU38,75.0849,-144.0434,180.0,top
CU39,142.9512,-142.4402,180.0,top
