Designator,Footprint,Quantity,Value,LCSC Part #
C5,CP_Radial_D8.0mm_P3.50mm,1,220u,C45072
"CU1, CU10, CU11, CU12, CU2, CU3, CU5, CU6, CU7, CU8, CU9",0603,11,100n,
"D1, D2, D3, D4, D5, D6, D7, D8",19237R6GHBHCA012T,8,LED_RGBA,C60105
"D10, D9",0603,2,LED,C79636
"J21, J22",Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,2,NMJ6HCD2,C368502
J24,IDC-Header_2x15_P2.54mm_Vertical,1,Conn_02x15_Odd_Even,C358748
"R1, R2, R23",0603,3,120,
R24,0603,1,2.2k,
"R25, R26, R27, R28, R29, R30, R31, R32",0603,8,10k,
"R3, R4",0603,2,100,
"RV1, RV2",Potentiometer_Bourns_PTV09A-1_Single_Vertical,2,10k, C5357831
"RV3, RV4, RV5, RV6, RV7, RV8",Potentiometer_Bourns_PTV09A-1_Single_Vertical,6,10k,C5357831
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,8,tactile,C5504987
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW9",SW_Push_DPDT_PS-5850SVB-6PL,8,SW_Push_DPDT,C5155567
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,TLC5947RHB,C181402
"U2, U3",SSOP-24_5.3x8.2mm_P0.65mm,2,CD74HC4067SM,C98457
"VR1, VR2, VR3, VR4, VR5, VR6, VR7, VR8",RS45111A900F,8,RS45111A900F,C470640
