Designator,Mid X,Mid Y,Rotation,Layer
C5,72.85,-99.6,90.0,top
CU1,155.7528,-140.0556,270.0,top
CU10,127.3556,-134.8044,0.0,top
CU11,137.401,-134.8044,0.0,top
CU12,146.6596,-134.7216,90.0,top
CU2,182.2704,-139.9032,180.0,top
CU3,109.1184,-126.5936,180.0,top
CU5,77.3554,-134.8044,0.0,top
CU6,87.4776,-134.7536,0.0,top
CU7,97.433686,-134.8044,0.0,top
CU8,101.092,-133.8072,180.0,top
CU9,117.348,-134.8044,0.0,top
D1,74.205,-134.306069,0.0,top
D10,253.238,-62.103,180.0,top
D2,84.205,-134.306069,0.0,top
D3,94.205,-134.306069,0.0,top
D4,104.205,-134.306069,180.0,top
D5,114.205,-134.306069,0.0,top
D6,124.205,-134.306069,0.0,top
D7,134.205,-134.306069,0.0,top
D8,144.205,-134.306069,0.0,top
D9,253.136308,-57.73171,180.0,top
J21,163.97,-59.817,90.0,bottom
J22,189.852,-59.817,90.0,bottom
J24,224.155,-145.0004,90.0,bottom
J4,224.155,-105.0544,180.0,bottom
R1,257.048,-62.133,180.0,top
R2,257.048,-64.643,180.0,top
R23,256.950508,-57.70711,180.0,top
R24,114.427,-127.381,0.0,top
R25,79.2734,-138.0236,270.0,top
R26,88.4428,-137.9728,270.0,top
R27,98.4504,-137.9728,270.0,top
R28,108.5088,-138.0866,270.0,top
R29,118.4656,-138.0744,270.0,top
R3,202.8444,-59.5884,180.0,top
R30,128.4732,-138.0744,270.0,top
R31,138.4808,-138.2776,270.0,top
R32,148.7424,-138.7856,270.0,top
R4,176.8856,-59.5884,180.0,top
RV1,134.164201,-120.730875,90.0,top
RV2,114.164201,-120.668088,90.0,top
RV3,94.164201,-120.668088,90.0,top
RV4,74.164201,-120.668088,90.0,top
RV5,74.183299,-83.866758,90.0,top
RV6,94.183299,-83.866758,90.0,top
RV7,114.183299,-83.866758,90.0,top
RV8,134.183299,-83.866758,90.0,top
SW1,74.272,-62.732,270.0,top
SW10,84.205,-142.875,270.0,top
SW11,94.205,-142.875,270.0,top
SW12,104.205,-142.875,270.0,top
SW13,114.205,-142.875,270.0,top
SW14,124.205,-142.875,270.0,top
SW15,134.205,-142.875,270.0,top
SW16,144.205,-142.875,270.0,top
SW2,84.272,-62.732,270.0,top
SW3,94.272,-62.732,270.0,top
SW4,104.272,-62.732,270.0,top
SW5,114.272,-62.732,270.0,top
SW6,124.272,-62.732,270.0,top
SW7,134.272,-62.732,270.0,top
SW8,144.272,-62.732,270.0,top
SW9,74.205,-142.875,180.0,top
U1,109.137,-130.8608,90.0,top
U2,179.2732,-145.3388,270.0,top
U3,161.062712,-144.161,0.0,top
VR1,156.845,-105.744959,270.0,top
VR2,170.233286,-105.744959,270.0,top
VR3,183.621571,-105.744959,270.0,top
VR4,197.009857,-105.744959,270.0,top
VR5,210.398143,-105.744959,270.0,top
VR6,223.786429,-105.744959,270.0,top
VR7,237.174714,-105.795959,270.0,top
VR8,250.563,-105.795959,270.0,top
